"Source:","C:\Users\trkarl\Documents\Eros\Tracker\Eros Tracker.kicad_sch"
"Date:","5/22/2023 12:38:57 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","58"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Link","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","link"
"1","1","C1","22uF","Device:C","","~","","","","","","","","",""
"2","1","C2","4.7uF","Device:C","","~","","","","","","","","",""
"3","4","C3, C4, C5, C6","0.1uF","Device:C","","~","","","","","","","","",""
"4","1","D1","SS34FA",":SS34FA_1","SODFL3618X143N","http://www.onsemi.com/pub/Collateral/SS36FA-D.pdf","","","1.43","","onsemi","SS34FA","512-SS34FA","https://www.mouser.co.uk/ProductDetail/onsemi-Fairchild/SS34FA?qs=R26iFe%2FkX%2FK1QUwZdCmBBw%3D%3D",""
"5","1","D2","BAT54C","Diode:BAT54C","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/_files/datasheets/ds11005.pdf","","","","","","","","",""
"6","1","J1","2171790001","Eros Tracker:2171790001","2171790001_MOL","https://www.molex.com/webdocs/datasheets/pdf/en-us/2171790001_IO_CONNECTORS.pdf","","","","","","","","",""
"7","1","J2","S2B-PH-K-SLFSN","Eros Tracker:S2B-PH-SM4-TB_LF__SN_","Eros Tracker:S2BPHSM4TBLFSN","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","6.6","","JST (JAPAN SOLDERLESS TERMINALS)","S2B-PH-SM4-TB(LF)(SN)","","",""
"8","1","J3","S8B-PH-K-S LFSN","Eros Tracker:S8B-PH-SM4-TB_LF__SN_","Eros Tracker:S8BPHSM4TBLFSN","https://www.digikey.com/product-detail/en/jst-sales-america-inc/S8B-PH-SM4-TB-LF-SN/455-1755-1-ND/926852","","","5.5","","JST (JAPAN SOLDERLESS TERMINALS)","S8B-PH-SM4-TB(LF)(SN)","","",""
"9","4","J4, J5, J6, J7","24881","Eros Tracker:24881","Eros Tracker:2488x-NPTH","https://www.keyelco.com/product-pdf.cfm?p=14492","","","8.13","","Keystone Electronics","24881","534-24881","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/24885?qs=u16ybLDytRauJq9rQZt4xg%3D%3D",""
"10","2","J8, J9","~","Eros Tracker:Power_Pad","Eros Tracker:10mmDisc","","","","","https://totalelement.com/collections/steel-discs/products/3-8-inch-steel-disc-blank-metal-strike-plates-250-pack","","","","","https://totalelement.com/collections/steel-discs/products/3-8-inch-steel-disc-blank-metal-strike-plates-250-pack"
"11","1","JP1","BOOT","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"12","1","L1","1uH","Device:L","","~","","","","","","","","",""
"13","3","LED1, LED2, LED3","APDA3020LVBC_D","Eros Tracker:APDA3020LVBC_D","APDA3020LVBCD","https://www.kingbrightusa.com/images/catalog/SPEC/APDA3020LVBC-D.pdf","","","3","","Kingbright","APDA3020LVBC/D","604-APDA3020LVBCD","https://www.mouser.co.uk/ProductDetail/Kingbright/APDA3020LVBC-D?qs=6oMev5NRZMFciq4qGtzS9Q%3D%3D",""
"14","1","M1","Motor_DC","Motor:Motor_DC","","~","","","","","","","","",""
"15","2","Q2, Q3","NX138BKSX","Eros Tracker:NX138BKSX","Eros Tracker:SOT65P210X110-6N","https://assets.nexperia.com/documents/data-sheet/NX138BKS.pdf","","","1.1","","Nexperia","NX138BKSX","771-NX138BKSX","https://www.mouser.co.uk/ProductDetail/Nexperia/NX138BKSX?qs=1fQ7IOp4WrgA%2FWbRCM6BQA%3D%3D",""
